year,veg,m.sos.s,d.sos.s,m.sos.e,d.sos.e,m.eos.s,d.eos.s,m.eos.e,d.eos.e
2000,1,6,1,6,4,8,21,8,23
2000,2,6,2,6,5,8,16,8,20
2001,1,5,28,6,2,8,23,8,27
2001,2,5,30,6,6,8,20,8,23
2002,1,5,29,6,4,8,26,8,29
2002,2,5,31,6,5,8,24,8,27
2003,1,5,31,6,4,8,27,9,2
2003,2,6,2,6,6,8,23,8,28
2004,1,6,1,6,5,8,22,8,27
2004,2,6,6,6,8,8,17,8,21
2005,1,,,,,9,3,9,8
2005,2,,,,,8,28,9,2
2006,1,6,3,6,8,8,24,8,29
2006,2,6,6,6,9,8,19,8,25
2007,1,5,25,5,30,9,1,9,3
2007,2,5,25,5,30,8,24,8,26
2008,1,6,8,6,14,,,,
2008,2,6,5,6,10,,,,
2009,1,5,25,5,27,8,27,9,4
2009,2,5,27,5,30,8,22,8,25
2010,1,,,,,,,,
2010,2,,,,,,,,
2011,1,,,,,8,29,8,31
2011,2,,,,,8,19,8,24
2012,1,5,29,6,3,8,24,8,26
2012,2,6,3,6,8,8,19,8,22
2013,1,5,31,6,8,,,,
2013,2,6,5,6,14,8,20,8,24
2014,1,6,2,6,8,9,2,9,5
2014,2,6,6,6,14,8,29,8,31
2015,1,6,5,6,9,8,24,8,26
2015,2,6,13,6,18,8,18,8,22
2016,1,,,,,,,,
2016,2,,,,,,,,
2017,1,5,31,6,6,,,,
2017,2,6,6,6,10,,,,
